county,total,state_lab,other_lab,fips,timestamp
Bates,1,0,1,29013,2020-03-22T21:16:01Z
Boone,10,1,9,29019,2020-03-22T21:16:01Z
Cass,6,2,4,29037,2020-03-22T21:16:01Z
Christian,1,1,0,29043,2020-03-22T21:16:01Z
Cole,3,2,1,29051,2020-03-22T21:16:01Z
Dunklin,1,0,1,29069,2020-03-22T21:16:01Z
Greene,10,8,2,29077,2020-03-22T21:16:01Z
Henry,1,1,0,29083,2020-03-22T21:16:01Z
Jackson,5,1,4,29095,2020-03-22T21:16:01Z
Jasper,1,1,0,29097,2020-03-22T21:16:01Z
Johnson,1,1,0,29101,2020-03-22T21:16:01Z
Kansas City,13,0,13,NA,2020-03-22T21:16:01Z
Pulaski,1,0,1,29169,2020-03-22T21:16:01Z
Scott,1,0,1,29201,2020-03-22T21:16:01Z
St. Charles,2,1,1,29183,2020-03-22T21:16:01Z
St. Louis City,7,5,2,29510,2020-03-22T21:16:01Z
St. Louis,22,14,8,29189,2020-03-22T21:16:01Z
TBD,4,0,4,NA,2020-03-22T21:16:01Z
Bates,1,0,1,29013,2020-03-22T19:37:50Z
Boone,10,1,9,29019,2020-03-22T19:37:50Z
Cass,6,2,4,29037,2020-03-22T19:37:50Z
Christian,1,1,0,29043,2020-03-22T19:37:50Z
Cole,3,2,1,29051,2020-03-22T19:37:50Z
Dunklin,1,0,1,29069,2020-03-22T19:37:50Z
Greene,10,8,2,29077,2020-03-22T19:37:50Z
Henry,1,1,0,29083,2020-03-22T19:37:50Z
Jackson,5,1,4,29095,2020-03-22T19:37:50Z
Jasper,1,1,0,29097,2020-03-22T19:37:50Z
Johnson,1,1,0,29101,2020-03-22T19:37:50Z
Kansas City,13,0,13,NA,2020-03-22T19:37:50Z
Pulaski,1,0,1,29169,2020-03-22T19:37:50Z
Scott,1,0,1,29201,2020-03-22T19:37:50Z
St. Charles,2,1,1,29183,2020-03-22T19:37:50Z
St. Louis City,7,5,2,29510,2020-03-22T19:37:50Z
St. Louis,22,14,8,29189,2020-03-22T19:37:50Z
TBD,4,0,4,NA,2020-03-22T19:37:50Z
Bates,1,0,1,29013,2020-03-22T19:36:48Z
Boone,10,1,9,29019,2020-03-22T19:36:48Z
Cass,6,2,4,29037,2020-03-22T19:36:48Z
Christian,1,1,0,29043,2020-03-22T19:36:48Z
Cole,3,2,1,29051,2020-03-22T19:36:48Z
